"","Subject","Group","1","2","3","4"
"1","1","ctr",65560.976562,80967.75,82810.078125,89451.929688
"2","2","pre",66798.429688,85500.734375,89965.875,94038.242188
"3","3","ctr",65199.796875,78415.148438,83889.375,86026.523438
"4","4","pre",69585.625,86625.171875,89458.335938,NA
"5","5","ctr",64044.742188,77618.882812,83680.132812,90678.023438
"6","6","pre",60274.121094,75329.453125,79294.9375,84762.367188
"7","7","ctr",62920.667969,77760.78125,82093.078125,85173.21875
"8","8","pre",65593.78125,81994.898438,84051.867188,89787.609375
"9","9","ctr",65215.546875,NA,83131.96875,87939.148438
"10","10","pre",65660.109375,84387.257812,88869.015625,91550.109375
"11","11","ctr",67741.625,83585.21875,90163.828125,93059.078125
"12","12","pre",67199.632812,80604.875,85589.585938,88811.796875
"13","13","ctr",68873.320312,84348.523438,88292.804688,93583.398438
"14","14","pre",66377.960938,82155.5625,86913.96875,93223.390625
"15","15","ctr",66837.71875,83385.148438,89549.890625,91302.226562
"16","16","pre",71010.929688,81284.867188,86354.757812,90779.226562
"17","17","ctr",68203.492188,79902.359375,84199.296875,77134.195312
"18","18","pre",71309.117188,80458.921875,86809.929688,86427.234375
"19","19","ctr",71914.25,80295.164062,88620.632812,NA
"20","20","pre",66827.570312,78294.570312,83411.875,NA
"21","21","ctr",71146.304688,85810.039062,88272.109375,92467.382812
"22","22","pre",72379.554688,83567.78125,89103.476562,91497.304688
"23","23","ctr",67013.179688,79912.054688,85185.21875,87966.109375
"24","24","pre",67570.625,80491.085938,NA,NA
